time,origin,dest,count
2019-11-01,23,2,251
2019-11-01,23,13,65
2019-11-01,23,14,699
2019-11-01,23,18,751
2019-11-01,23,30,107
2019-11-01,23,29,19
2019-11-01,24,33,200
2019-11-01,24,27,196
2019-11-01,24,32,490
2019-11-01,24,34,28
2019-11-01,24,49,318
2019-11-01,25,8,986
2019-11-01,25,17,300
2019-11-01,25,22,1515
2019-11-01,25,43,210
2019-11-01,25,50,25
2019-11-01,27,33,2162
2019-11-01,27,15,829
2019-11-01,27,24,47
2019-11-01,27,32,513
2019-11-01,27,36,31
2019-11-01,28,2,23
2019-11-01,28,3,19
2019-11-01,28,16,41
2019-11-01,28,19,6215
2019-11-01,28,40,168
2019-11-01,28,41,53
2019-11-01,28,45,7837
2019-11-01,28,5,291
2019-11-01,52,29,25
2019-11-01,30,2,571
2019-11-01,30,3,3846
2019-11-01,30,4,2484
2019-11-01,30,1,65
2019-11-01,30,17,83
2019-11-01,30,18,100
2019-11-01,30,28,91
2019-11-01,29,48,22
2019-11-01,29,51,44
2019-11-01,29,11,2718
2019-11-01,29,14,468
2019-11-01,29,18,1183
2019-11-01,29,28,47
2019-11-01,29,41,226
2019-11-01,31,1,830
2019-11-01,31,20,1066
2019-11-01,31,22,23
2019-11-01,31,26,5411
2019-11-01,31,50,994
2019-11-01,32,15,79
2019-11-01,32,24,309
2019-11-01,32,27,1140
2019-11-01,32,36,1629
2019-11-01,32,49,244
2019-11-01,34,48,24
2019-11-01,34,9,1101
2019-11-01,34,39,107
2019-11-01,34,24,368
2019-11-01,34,47,755
2019-11-01,35,38,206
2019-11-01,36,15,8083
2019-11-01,36,27,242
2019-11-01,36,32,416
2019-11-01,26,3,25
2019-11-01,26,1,3991
2019-11-01,26,48,91
2019-11-01,26,9,235
2019-11-01,26,31,3418
2019-11-01,26,42,26
2019-11-01,37,10,450
2019-11-01,37,49,205
2019-11-01,37,5,319
2019-11-01,38,35,16
2019-11-01,40,9,125
2019-11-01,40,19,25
2019-11-01,40,28,521
2019-11-01,40,47,388
2019-11-01,40,5,181
2019-11-01,41,6,370
2019-11-01,41,11,2768
2019-11-01,41,14,2082
2019-11-01,41,21,818
2019-11-01,41,29,800
2019-11-01,42,9,224
2019-11-01,42,26,27
2019-11-01,42,40,71
2019-11-01,42,50,129
2019-11-01,43,8,5468
2019-11-01,43,12,3201
2019-11-01,43,13,26
2019-11-01,43,25,442
2019-11-01,43,31,46
2019-11-01,43,44,437
2019-11-01,43,50,228
2019-11-01,44,12,185
2019-11-01,44,19,98
2019-11-01,44,43,68
2019-11-01,44,46,118
2019-11-01,44,50,805
2019-11-01,45,12,29
2019-11-01,45,13,1708
2019-11-01,45,16,386
2019-11-01,45,10,570
2019-11-01,45,19,27
2019-11-01,45,23,94
2019-11-01,45,28,12710
2019-11-01,45,5,318
2019-11-01,46,2,250
2019-11-01,46,3,1797
2019-11-01,46,8,17
2019-11-01,46,12,1183
2019-11-01,46,16,229
2019-11-01,46,10,25
2019-11-01,46,44,95
2019-11-01,47,9,67
2019-11-01,47,24,404
2019-11-01,47,34,939
2019-11-01,47,37,45
2019-11-01,47,40,729
2019-11-01,47,49,463
2019-11-01,47,5,190
2019-11-01,49,24,417
2019-11-01,49,32,36
2019-11-01,49,37,535
2019-11-01,49,47,251
2019-11-01,50,8,21
2019-11-01,50,19,18
2019-11-01,50,22,824
2019-11-01,50,25,197
2019-11-01,50,31,1250
2019-11-01,50,26,200
2019-11-01,50,42,281
2019-11-01,50,43,40
2019-11-01,50,44,371
2019-11-01,5,10,317
2019-11-01,5,28,1063
2019-11-01,5,37,267
2019-11-01,5,40,301
2019-11-01,5,45,210
2019-11-01,5,47,30
2020-03-16,2,3,260
2020-03-16,2,13,397
2020-03-16,2,16,543
2020-03-16,2,30,228
2020-03-16,2,46,364
2020-03-16,3,2,201
2020-03-16,3,30,2627
2020-03-16,3,46,1118
2020-03-16,4,3,16
2020-03-16,4,8,16
2020-03-16,4,18,192
2020-03-16,4,52,18
2020-03-16,4,30,1174
2020-03-16,1,48,710
2020-03-16,1,9,767
2020-03-16,1,20,154
2020-03-16,1,31,41
2020-03-16,1,26,437
2020-03-16,33,39,169
2020-03-16,33,24,42
2020-03-16,33,27,676
2020-03-16,6,13,51
2020-03-16,6,10,868
2020-03-16,6,14,54
2020-03-16,6,21,334
2020-03-16,8,17,2322
2020-03-16,8,25,184
2020-03-16,8,31,16
2020-03-16,8,43,899
2020-03-16,8,50,32
2020-03-16,48,1,1433
2020-03-16,48,9,149
2020-03-16,48,39,493
2020-03-16,48,20,1784
2020-03-16,9,1,1695
2020-03-16,9,48,38
2020-03-16,9,34,473
2020-03-16,9,40,63
2020-03-16,9,42,27
2020-03-16,9,47,69
2020-03-16,39,33,183
2020-03-16,39,48,2343
2020-03-16,39,9,25
2020-03-16,39,34,141
2020-03-16,12,43,643
2020-03-16,12,44,25
2020-03-16,12,46,556
2020-03-16,51,11,29
2020-03-16,13,2,660
2020-03-16,13,6,56
2020-03-16,13,16,38
2020-03-16,13,14,285
2020-03-16,13,45,268
2020-03-16,15,48,20
2020-03-16,15,27,571
2020-03-16,15,36,3563
2020-03-16,16,2,438
2020-03-16,16,19,63
2020-03-16,16,28,75
2020-03-16,16,45,95
2020-03-16,16,46,98
2020-03-16,10,6,949
2020-03-16,10,45,167
2020-03-16,10,5,109
2020-03-16,11,21,386
2020-03-16,11,29,824
2020-03-16,11,41,693
2020-03-16,14,6,47
2020-03-16,14,13,349
2020-03-16,14,18,236
2020-03-16,14,23,856
2020-03-16,14,29,198
2020-03-16,14,41,1547
2020-03-16,20,1,183
2020-03-16,20,48,1554
2020-03-16,20,31,357
2020-03-16,17,8,2443
2020-03-16,17,25,96
2020-03-16,18,4,331
2020-03-16,18,14,187
2020-03-16,18,23,141
2020-03-16,18,29,230
2020-03-16,19,16,30
2020-03-16,19,28,2628
2020-03-16,21,6,211
2020-03-16,21,11,671
2020-03-16,21,41,378
2020-03-16,22,25,388
2020-03-16,22,50,144
2020-03-16,23,2,16
2020-03-16,23,13,25
2020-03-16,23,14,617
2020-03-16,23,18,155
2020-03-16,24,33,35
2020-03-16,24,27,60
2020-03-16,24,32,273
2020-03-16,24,34,25
2020-03-16,24,47,27
2020-03-16,24,49,66
2020-03-16,25,8,86
2020-03-16,25,17,109
2020-03-16,25,22,434
2020-03-16,25,50,153
2020-03-16,27,33,785
2020-03-16,27,15,523
2020-03-16,27,24,26
2020-03-16,27,32,243
2020-03-16,27,36,27
2020-03-16,28,16,32
2020-03-16,28,19,2036
2020-03-16,28,45,3821
2020-03-16,28,5,120
2020-03-16,52,4,26
2020-03-16,30,2,99
2020-03-16,30,3,2666
2020-03-16,30,4,1784
2020-03-16,30,16,16
2020-03-16,29,11,1182
2020-03-16,29,14,223
2020-03-16,29,18,196
2020-03-16,29,52,34
2020-03-16,29,41,96
2020-03-16,31,1,136
2020-03-16,31,20,272
2020-03-16,31,26,1558
2020-03-16,31,42,24
2020-03-16,31,50,392
2020-03-16,32,24,309
2020-03-16,32,27,150
2020-03-16,32,36,165
2020-03-16,32,49,41
2020-03-16,34,9,404
2020-03-16,34,39,60
2020-03-16,34,47,35
2020-03-16,36,15,4861
2020-03-16,36,27,26
2020-03-16,36,32,178
2020-03-16,26,1,1222
2020-03-16,26,9,58
2020-03-16,26,31,2002
2020-03-16,37,5,250
2020-03-16,40,9,53
2020-03-16,40,28,64
2020-03-16,40,42,53
2020-03-16,40,47,246
2020-03-16,40,5,138
2020-03-16,41,6,45
2020-03-16,41,11,845
2020-03-16,41,14,1414
2020-03-16,41,21,710
2020-03-16,41,29,260
2020-03-16,42,47,34
2020-03-16,42,50,48
2020-03-16,43,8,1355
2020-03-16,43,12,812
2020-03-16,43,44,42
2020-03-16,44,43,31
2020-03-16,44,50,93
2020-03-16,45,13,266
2020-03-16,45,16,122
2020-03-16,45,10,220
2020-03-16,45,28,3894
2020-03-16,45,5,182
2020-03-16,46,2,293
2020-03-16,46,3,1066
2020-03-16,46,7,45
2020-03-16,46,12,715
2020-03-16,46,16,50
2020-03-16,46,28,20
2020-03-16,47,9,47
2020-03-16,47,24,55
2020-03-16,47,34,93
2020-03-16,47,40,301
2020-03-16,47,42,72
2020-03-16,47,49,68
2020-03-16,47,5,25
2020-03-16,49,24,80
2020-03-16,49,32,21
2020-03-16,49,47,29
2020-03-16,50,8,16
2020-03-16,50,22,218
2020-03-16,50,25,146
2020-03-16,50,31,614
2020-03-16,50,42,70
2020-03-16,50,44,106
2020-03-16,5,10,69
2020-03-16,5,28,197
2020-03-16,5,37,156
2020-03-16,5,40,50
2020-03-16,5,45,204
2020-03-18,2,3,229
2020-03-18,2,13,393
2020-03-18,2,16,586
2020-03-18,2,30,341
2020-03-18,2,46,271
2020-03-18,3,2,168
2020-03-18,3,30,2659
2020-03-18,3,46,717
2020-03-18,4,18,266
2020-03-18,4,30,1040
2020-03-18,1,48,749
2020-03-18,1,9,713
2020-03-18,1,20,146
2020-03-18,1,31,20
2020-03-18,1,26,483
2020-03-18,33,39,169
2020-03-18,33,24,40
2020-03-18,33,27,648
2020-03-18,33,49,28
2020-03-18,6,13,48
2020-03-18,6,10,888
2020-03-18,6,14,61
2020-03-18,6,21,297
2020-03-18,6,41,47
2020-03-18,7,8,208
2020-03-18,8,7,22
2020-03-18,8,17,1905
2020-03-18,8,25,218
2020-03-18,8,43,751
2020-03-18,48,1,1181
2020-03-18,48,9,127
2020-03-18,48,39,504
2020-03-18,48,20,1347
2020-03-18,9,1,1407
2020-03-18,9,48,39
2020-03-18,9,34,506
2020-03-18,9,26,47
2020-03-18,9,40,70
2020-03-18,9,42,75
2020-03-18,9,47,125
2020-03-18,39,33,196
2020-03-18,39,48,2049
2020-03-18,39,34,165
2020-03-18,12,17,18
2020-03-18,12,43,665
2020-03-18,12,44,60
2020-03-18,12,46,563
2020-03-18,51,11,16
2020-03-18,13,2,634
2020-03-18,13,6,54
2020-03-18,13,16,126
2020-03-18,13,14,213
2020-03-18,13,45,249
2020-03-18,15,27,442
2020-03-18,15,36,3798
2020-03-18,16,2,448
2020-03-18,16,19,47
2020-03-18,16,28,59
2020-03-18,16,45,65
2020-03-18,16,46,66
2020-03-18,10,6,820
2020-03-18,10,45,494
2020-03-18,10,5,272
2020-03-18,11,51,22
2020-03-18,11,21,469
2020-03-18,11,29,676
2020-03-18,11,41,586
2020-03-18,14,6,51
2020-03-18,14,13,348
2020-03-18,14,18,266
2020-03-18,14,23,679
2020-03-18,14,29,150
2020-03-18,14,41,1582
2020-03-18,20,1,180
2020-03-18,20,48,1040
2020-03-18,20,31,279
2020-03-18,17,8,2305
2020-03-18,17,25,114
2020-03-18,18,4,299
2020-03-18,18,14,130
2020-03-18,18,23,123
2020-03-18,18,29,207
2020-03-18,19,28,2276
2020-03-18,21,6,210
2020-03-18,21,11,638
2020-03-18,21,41,379
2020-03-18,22,25,443
2020-03-18,22,50,151
2020-03-18,23,2,58
2020-03-18,23,14,593
2020-03-18,23,18,180
2020-03-18,24,33,55
2020-03-18,24,32,389
2020-03-18,24,34,24
2020-03-18,24,47,29
2020-03-18,24,49,30
2020-03-18,25,8,116
2020-03-18,25,17,97
2020-03-18,25,22,557
2020-03-18,25,50,152
2020-03-18,27,33,873
2020-03-18,27,15,487
2020-03-18,27,32,226
2020-03-18,28,16,41
2020-03-18,28,19,1877
2020-03-18,28,45,3010
2020-03-18,28,5,112
2020-03-18,52,17,16
2020-03-18,52,29,41
2020-03-18,30,2,296
2020-03-18,30,3,2667
2020-03-18,30,4,1580
2020-03-18,30,17,29
2020-03-18,29,11,925
2020-03-18,29,14,273
2020-03-18,29,18,151
2020-03-18,29,23,20
2020-03-18,29,41,71
2020-03-18,31,1,110
2020-03-18,31,20,251
2020-03-18,31,26,1575
2020-03-18,31,50,444
2020-03-18,32,24,350
2020-03-18,32,27,130
2020-03-18,32,36,176
2020-03-18,32,49,48
2020-03-18,34,9,414
2020-03-18,34,39,39
2020-03-18,34,24,35
2020-03-18,34,47,23
2020-03-18,36,15,4612
2020-03-18,36,32,173
2020-03-18,26,1,1285
2020-03-18,26,9,59
2020-03-18,26,31,1767
2020-03-18,37,49,33
2020-03-18,37,5,327
2020-03-18,40,9,21
2020-03-18,40,28,42
2020-03-18,40,47,268
2020-03-18,40,5,72
2020-03-18,41,6,47
2020-03-18,41,11,751
2020-03-18,41,14,1421
2020-03-18,41,21,666
2020-03-18,41,29,225
2020-03-18,42,47,24
2020-03-18,42,50,52
2020-03-18,43,8,1135
2020-03-18,43,12,900
2020-03-18,43,44,47
2020-03-18,44,12,66
2020-03-18,44,43,34
2020-03-18,44,50,147
2020-03-18,45,13,184
2020-03-18,45,16,198
2020-03-18,45,10,173
2020-03-18,45,28,3502
2020-03-18,45,5,224
2020-03-18,46,2,211
2020-03-18,46,3,1030
2020-03-18,46,7,123
2020-03-18,46,12,623
2020-03-18,46,16,35
2020-03-18,47,9,55
2020-03-18,47,24,34
2020-03-18,47,34,51
2020-03-18,47,40,178
2020-03-18,47,42,48
2020-03-18,47,49,42
2020-03-18,49,24,120
2020-03-18,49,32,21
2020-03-18,49,47,75
2020-03-18,50,22,179
2020-03-18,50,25,78
2020-03-18,50,31,547
2020-03-18,50,42,163
2020-03-18,5,10,85
2020-03-18,5,28,74
2020-03-18,5,37,225
2020-03-18,5,40,120
2020-03-18,5,45,217
2020-03-18,5,47,19
2020-03-20,2,3,198
2020-03-20,2,13,450
2020-03-20,2,16,512
2020-03-20,2,30,179
2020-03-20,2,46,286
2020-03-20,3,2,129
2020-03-20,3,30,2310
2020-03-20,3,29,23
2020-03-20,3,46,834
2020-03-20,4,18,213
2020-03-20,4,30,941
2020-03-20,1,48,486
2020-03-20,1,9,635
2020-03-20,1,20,116
2020-03-20,1,26,455
2020-03-20,33,39,167
2020-03-20,33,24,46
2020-03-20,33,27,583
2020-03-20,6,13,46
2020-03-20,6,10,841
2020-03-20,6,14,49
2020-03-20,6,21,361
2020-03-20,8,7,19
2020-03-20,8,17,1800
2020-03-20,8,25,174
2020-03-20,8,38,23
2020-03-20,8,43,820
2020-03-20,48,1,728
2020-03-20,48,9,31
2020-03-20,48,39,355
2020-03-20,48,20,743
2020-03-20,9,1,1186
2020-03-20,9,48,16
2020-03-20,9,34,551
2020-03-20,9,26,54
2020-03-20,9,40,121
2020-03-20,9,42,69
2020-03-20,9,47,110
2020-03-20,39,33,161
2020-03-20,39,48,1533
2020-03-20,39,9,24
2020-03-20,39,34,128
2020-03-20,12,43,578
2020-03-20,12,44,32
2020-03-20,12,46,508
2020-03-20,51,11,17
2020-03-20,13,2,535
2020-03-20,13,6,34
2020-03-20,13,16,81
2020-03-20,13,14,212
2020-03-20,13,45,168
2020-03-20,15,27,503
2020-03-20,15,36,3279
2020-03-20,16,2,411
2020-03-20,16,28,77
2020-03-20,16,45,66
2020-03-20,16,46,87
2020-03-20,10,6,764
2020-03-20,10,45,203
2020-03-20,10,5,83
2020-03-20,11,21,426
2020-03-20,11,29,648
2020-03-20,11,41,621
2020-03-20,14,6,33
2020-03-20,14,13,305
2020-03-20,14,18,267
2020-03-20,14,23,702
2020-03-20,14,29,251
2020-03-20,14,41,1534
2020-03-20,20,1,21
2020-03-20,20,48,566
2020-03-20,20,31,215
2020-03-20,17,8,2126
2020-03-20,17,25,96
2020-03-20,18,4,233
2020-03-20,18,14,135
2020-03-20,18,23,226
2020-03-20,18,29,124
2020-03-20,19,28,2074
2020-03-20,21,6,190
2020-03-20,21,11,612
2020-03-20,21,41,323
2020-03-20,22,25,463
2020-03-20,22,50,211
2020-03-20,23,2,43
2020-03-20,23,14,512
2020-03-20,23,18,211
2020-03-20,24,33,27
2020-03-20,24,32,249
2020-03-20,24,47,32
2020-03-20,24,49,56
2020-03-20,25,8,114
2020-03-20,25,17,128
2020-03-20,25,22,640
2020-03-20,25,50,159
2020-03-20,27,33,759
2020-03-20,27,15,412
2020-03-20,27,32,179
2020-03-20,28,16,59
2020-03-20,28,19,1808
2020-03-20,28,45,2834
2020-03-20,28,5,95
2020-03-20,52,29,16
2020-03-20,30,2,152
2020-03-20,30,3,2426
2020-03-20,30,4,1420
2020-03-20,30,29,18
2020-03-20,29,4,16
2020-03-20,29,11,778
2020-03-20,29,14,217
2020-03-20,29,18,146
2020-03-20,29,41,75
2020-03-20,31,1,59
2020-03-20,31,20,100
2020-03-20,31,26,1349
2020-03-20,31,50,328
2020-03-20,32,24,228
2020-03-20,32,27,61
2020-03-20,32,36,182
2020-03-20,34,9,295
2020-03-20,34,39,33
2020-03-20,34,24,33
2020-03-20,35,38,90
2020-03-20,36,15,3970
2020-03-20,36,32,125
2020-03-20,26,1,1096
2020-03-20,26,9,29
2020-03-20,26,31,1335
2020-03-20,37,5,315
2020-03-20,40,9,25
2020-03-20,40,28,36
2020-03-20,40,42,25
2020-03-20,40,47,249
2020-03-20,40,5,59
2020-03-20,41,6,24
2020-03-20,41,11,732
2020-03-20,41,14,1260
2020-03-20,41,21,683
2020-03-20,41,29,269
2020-03-20,42,9,44
2020-03-20,42,50,24
2020-03-20,43,8,960
2020-03-20,43,12,733
2020-03-20,43,44,53
2020-03-20,44,12,51
2020-03-20,44,43,31
2020-03-20,44,50,149
2020-03-20,45,13,125
2020-03-20,45,16,136
2020-03-20,45,10,166
2020-03-20,45,28,3139
2020-03-20,45,5,179
2020-03-20,46,2,236
2020-03-20,46,3,893
2020-03-20,46,7,91
2020-03-20,46,12,527
2020-03-20,46,28,26
2020-03-20,47,9,99
2020-03-20,47,24,32
2020-03-20,47,34,83
2020-03-20,47,40,283
2020-03-20,47,42,63
2020-03-20,47,49,47
2020-03-20,49,24,132
2020-03-20,49,37,32
2020-03-20,49,47,98
2020-03-20,50,22,262
2020-03-20,50,25,75
2020-03-20,50,31,520
2020-03-20,50,42,105
2020-03-20,50,43,46
2020-03-20,50,44,34
2020-03-20,5,10,79
2020-03-20,5,28,155
2020-03-20,5,37,142
2020-03-20,5,40,124
2020-03-20,5,45,150
2020-03-20,5,47,24
2020-03-22,2,3,83
2020-03-22,2,13,334
2020-03-22,2,16,120
2020-03-22,2,30,42
2020-03-22,2,46,155
2020-03-22,3,2,105
2020-03-22,3,12,39
2020-03-22,3,17,22
2020-03-22,3,23,25
2020-03-22,3,30,1110
2020-03-22,3,31,22
2020-03-22,3,46,417
2020-03-22,4,18,178
2020-03-22,4,52,16
2020-03-22,4,30,616
2020-03-22,1,48,306
2020-03-22,1,9,391
2020-03-22,1,26,217
2020-03-22,33,39,79
2020-03-22,33,24,26
2020-03-22,33,27,301
2020-03-22,6,13,47
2020-03-22,6,10,485
2020-03-22,6,21,158
2020-03-22,8,1,31
2020-03-22,8,17,909
2020-03-22,8,25,25
2020-03-22,8,30,31
2020-03-22,8,31,31
2020-03-22,8,43,446
2020-03-22,48,1,294
2020-03-22,48,39,219
2020-03-22,48,20,208
2020-03-22,9,1,416
2020-03-22,9,34,137
2020-03-22,9,47,57
2020-03-22,39,33,123
2020-03-22,39,48,277
2020-03-22,39,34,27
2020-03-22,12,43,257
2020-03-22,12,46,213
2020-03-22,13,2,281
2020-03-22,13,14,184
2020-03-22,15,27,148
2020-03-22,15,36,2215
2020-03-22,16,2,115
2020-03-22,16,19,20
2020-03-22,16,28,30
2020-03-22,16,46,28
2020-03-22,10,6,428
2020-03-22,10,45,135
2020-03-22,10,5,32
2020-03-22,11,51,23
2020-03-22,11,21,348
2020-03-22,11,29,271
2020-03-22,11,41,473
2020-03-22,14,6,49
2020-03-22,14,13,274
2020-03-22,14,18,62
2020-03-22,14,23,323
2020-03-22,14,29,63
2020-03-22,14,41,611
2020-03-22,20,48,179
2020-03-22,20,31,118
2020-03-22,17,8,948
2020-03-22,17,25,52
2020-03-22,18,4,291
2020-03-22,18,14,96
2020-03-22,18,23,140
2020-03-22,18,29,49
2020-03-22,19,28,758
2020-03-22,21,6,124
2020-03-22,21,11,420
2020-03-22,21,41,179
2020-03-22,22,25,164
2020-03-22,23,2,20
2020-03-22,23,13,20
2020-03-22,23,14,471
2020-03-22,23,18,135
2020-03-22,24,33,23
2020-03-22,24,32,53
2020-03-22,24,47,30
2020-03-22,25,8,33
2020-03-22,25,17,72
2020-03-22,25,22,217
2020-03-22,25,50,53
2020-03-22,27,33,424
2020-03-22,27,15,192
2020-03-22,27,32,87
2020-03-22,28,16,27
2020-03-22,28,19,571
2020-03-22,28,45,1534
2020-03-22,28,5,48
2020-03-22,30,2,42
2020-03-22,30,3,1127
2020-03-22,30,4,264
2020-03-22,29,11,302
2020-03-22,29,14,43
2020-03-22,29,18,53
2020-03-22,29,41,34
2020-03-22,31,20,56
2020-03-22,31,26,456
2020-03-22,31,50,187
2020-03-22,32,24,68
2020-03-22,32,27,74
2020-03-22,32,36,142
2020-03-22,34,9,140
2020-03-22,34,39,23
2020-03-22,36,15,2415
2020-03-22,36,32,127
2020-03-22,26,1,282
2020-03-22,26,31,448
2020-03-22,37,10,33
2020-03-22,37,49,23
2020-03-22,37,5,126
2020-03-22,40,47,42
2020-03-22,40,5,51
2020-03-22,41,11,467
2020-03-22,41,14,605
2020-03-22,41,21,288
2020-03-22,41,29,47
2020-03-22,42,47,22
2020-03-22,43,7,46
2020-03-22,43,8,404
2020-03-22,43,12,405
2020-03-22,43,44,39
2020-03-22,45,10,36
2020-03-22,45,28,1487
2020-03-22,45,5,72
2020-03-22,46,2,217
2020-03-22,46,3,434
2020-03-22,46,12,444
2020-03-22,46,16,135
2020-03-22,47,9,85
2020-03-22,47,34,30
2020-03-22,47,40,56
2020-03-22,47,42,20
2020-03-22,49,47,32
2020-03-22,50,25,55
2020-03-22,50,31,255
2020-03-22,5,10,58
2020-03-22,5,28,16
2020-03-22,5,37,114
2020-03-22,5,40,51
2020-03-22,5,45,89
2020-03-24,2,3,192
2020-03-24,2,13,391
2020-03-24,2,16,462
2020-03-24,2,30,131
2020-03-24,2,46,286
2020-03-24,3,2,226
2020-03-24,3,8,21
2020-03-24,3,12,16
2020-03-24,3,30,2020
2020-03-24,3,31,20
2020-03-24,3,46,876
2020-03-24,4,17,16
2020-03-24,4,18,416
2020-03-24,4,30,1034
2020-03-24,1,48,568
2020-03-24,1,9,723
2020-03-24,1,20,83
2020-03-24,1,31,18
2020-03-24,1,26,506
2020-03-24,33,39,135
2020-03-24,33,24,44
2020-03-24,33,27,631
2020-03-24,6,13,33
2020-03-24,6,10,850
2020-03-24,6,14,52
2020-03-24,6,21,240
2020-03-24,8,7,19
2020-03-24,8,17,1779
2020-03-24,8,25,80
2020-03-24,8,30,32
2020-03-24,8,43,737
2020-03-24,48,1,1035
2020-03-24,48,9,67
2020-03-24,48,39,384
2020-03-24,48,20,1077
2020-03-24,9,1,1420
2020-03-24,9,48,40
2020-03-24,9,34,444
2020-03-24,9,40,74
2020-03-24,9,42,55
2020-03-24,9,47,86
2020-03-24,39,33,174
2020-03-24,39,48,1536
2020-03-24,39,34,183
2020-03-24,12,43,643
2020-03-24,12,44,26
2020-03-24,12,46,384
2020-03-24,51,11,18
2020-03-24,13,2,483
2020-03-24,13,6,47
2020-03-24,13,16,58
2020-03-24,13,14,257
2020-03-24,13,45,179
2020-03-24,15,27,413
2020-03-24,15,36,3482
2020-03-24,16,2,370
2020-03-24,16,19,27
2020-03-24,16,28,81
2020-03-24,16,45,53
2020-03-24,16,46,94
2020-03-24,10,6,716
2020-03-24,10,45,185
2020-03-24,10,5,51
2020-03-24,11,21,416
2020-03-24,11,29,513
2020-03-24,11,41,538
2020-03-24,14,6,62
2020-03-24,14,13,417
2020-03-24,14,18,192
2020-03-24,14,23,499
2020-03-24,14,29,168
2020-03-24,14,41,1445
2020-03-24,20,1,78
2020-03-24,20,48,868
2020-03-24,20,31,261
2020-03-24,17,8,1959
2020-03-24,17,25,137
2020-03-24,18,4,593
2020-03-24,18,14,146
2020-03-24,18,23,150
2020-03-24,18,29,145
2020-03-24,19,28,1674
2020-03-24,21,6,235
2020-03-24,21,11,552
2020-03-24,21,41,388
2020-03-24,22,25,439
2020-03-24,22,50,193
2020-03-24,23,2,19
2020-03-24,23,13,16
2020-03-24,23,14,672
2020-03-24,23,18,172
2020-03-24,23,30,17
2020-03-24,24,32,95
2020-03-24,24,34,27
2020-03-24,24,47,36
2020-03-24,24,49,22
2020-03-24,25,8,43
2020-03-24,25,17,135
2020-03-24,25,22,463
2020-03-24,25,43,20
2020-03-24,25,50,82
2020-03-24,27,33,712
2020-03-24,27,15,505
