time,origin,dest,count
2020-03-20,39,9,24
2020-03-20,39,34,128
2020-03-20,12,43,578
2020-03-20,12,44,32
2020-03-20,12,46,508
2020-03-20,51,11,17
2020-03-20,13,2,535
2020-03-20,13,6,34
2020-03-20,13,16,81
2020-03-20,13,14,212
2020-03-20,13,45,168
2020-03-20,15,27,503
2020-03-20,15,36,3279
2020-03-20,16,2,411
2020-03-20,16,28,77
2020-03-20,16,45,66
2020-03-20,16,46,87
2020-03-20,10,6,764
2020-03-20,10,45,203
2020-03-20,10,5,83
2020-03-20,11,21,426
2020-03-20,11,29,648
2020-03-20,11,41,621
2020-03-20,14,6,33
2020-03-20,14,13,305
2020-03-20,14,18,267
2020-03-20,14,23,702
2020-03-20,14,29,251
2020-03-20,14,41,1534
2020-03-20,20,1,21
2020-03-20,20,48,566
2020-03-20,20,31,215
2020-03-20,17,8,2126
2020-03-20,17,25,96
2020-03-20,18,4,233
2020-03-20,18,14,135
2020-03-20,18,23,226
2020-03-20,18,29,124
2020-03-20,19,28,2074
2020-03-20,21,6,190
2020-03-20,21,11,612
2020-03-20,21,41,323
2020-03-20,22,25,463
2020-03-20,22,50,211
2020-03-20,23,2,43
2020-03-20,23,14,512
2020-03-20,23,18,211
2020-03-20,24,33,27
2020-03-20,24,32,249
2020-03-20,24,47,32
2020-03-20,24,49,56
2020-03-20,25,8,114
2020-03-20,25,17,128
2020-03-20,25,22,640
2020-03-20,25,50,159
2020-03-20,27,33,759
2020-03-20,27,15,412
2020-03-20,27,32,179
2020-03-20,28,16,59
2020-03-20,28,19,1808
2020-03-20,28,45,2834
2020-03-20,28,5,95
2020-03-20,52,29,16
2020-03-20,30,2,152
2020-03-20,30,3,2426
2020-03-20,30,4,1420
2020-03-20,30,29,18
2020-03-20,29,4,16
2020-03-20,29,11,778
2020-03-20,29,14,217
2020-03-20,29,18,146
2020-03-20,29,41,75
2020-03-20,31,1,59
2020-03-20,31,20,100
2020-03-20,31,26,1349
2020-03-20,31,50,328
2020-03-20,32,24,228
2020-03-20,32,27,61
2020-03-20,32,36,182
2020-03-20,34,9,295
2020-03-20,34,39,33
2020-03-20,34,24,33
2020-03-20,35,38,90
2020-03-20,36,15,3970
2020-03-20,36,32,125
2020-03-20,26,1,1096
2020-03-20,26,9,29
2020-03-20,26,31,1335
2020-03-20,37,5,315
2020-03-20,40,9,25
2020-03-20,40,28,36
2020-03-20,40,42,25
2020-03-20,40,47,249
2020-03-20,40,5,59
2020-03-20,41,6,24
2020-03-20,41,11,732
2020-03-20,41,14,1260
2020-03-20,41,21,683
2020-03-20,41,29,269
2020-03-20,42,9,44
2020-03-20,42,50,24
2020-03-20,43,8,960
2020-03-20,43,12,733
2020-03-20,43,44,53
2020-03-20,44,12,51
2020-03-20,44,43,31
2020-03-20,44,50,149
2020-03-20,45,13,125
2020-03-20,45,16,136
2020-03-20,45,10,166
2020-03-20,45,28,3139
2020-03-20,45,5,179
2020-03-20,46,2,236
2020-03-20,46,3,893
2020-03-20,46,7,91
2020-03-20,46,12,527
2020-03-20,46,28,26
2020-03-20,47,9,99
2020-03-20,47,24,32
2020-03-20,47,34,83
2020-03-20,47,40,283
2020-03-20,47,42,63
2020-03-20,47,49,47
2020-03-20,49,24,132
2020-03-20,49,37,32
2020-03-20,49,47,98
2020-03-20,50,22,262
2020-03-20,50,25,75
2020-03-20,50,31,520
2020-03-20,50,42,105
2020-03-20,50,43,46
2020-03-20,50,44,34
2020-03-20,5,10,79
2020-03-20,5,28,155
2020-03-20,5,37,142
2020-03-20,5,40,124
2020-03-20,5,45,150
2020-03-20,5,47,24
2020-03-22,2,3,83
2020-03-22,2,13,334
2020-03-22,2,16,120
2020-03-22,2,30,42
2020-03-22,2,46,155
2020-03-22,3,2,105
2020-03-22,3,12,39
2020-03-22,3,17,22
2020-03-22,3,23,25
2020-03-22,3,30,1110
2020-03-22,3,31,22
2020-03-22,3,46,417
2020-03-22,4,18,178
2020-03-22,4,52,16
2020-03-22,4,30,616
2020-03-22,1,48,306
2020-03-22,1,9,391
2020-03-22,1,26,217
2020-03-22,33,39,79
2020-03-22,33,24,26
2020-03-22,33,27,301
2020-03-22,6,13,47
2020-03-22,6,10,485
2020-03-22,6,21,158
2020-03-22,8,1,31
2020-03-22,8,17,909
2020-03-22,8,25,25
2020-03-22,8,30,31
2020-03-22,8,31,31
2020-03-22,8,43,446
2020-03-22,48,1,294
2020-03-22,48,39,219
2020-03-22,48,20,208
2020-03-22,9,1,416
2020-03-22,9,34,137
2020-03-22,9,47,57
2020-03-22,39,33,123
2020-03-22,39,48,277
2020-03-22,39,34,27
2020-03-22,12,43,257
2020-03-22,12,46,213
2020-03-22,13,2,281
2020-03-22,13,14,184
2020-03-22,15,27,148
2020-03-22,15,36,2215
2020-03-22,16,2,115
2020-03-22,16,19,20
2020-03-22,16,28,30
2020-03-22,16,46,28
2020-03-22,10,6,428
2020-03-22,10,45,135
2020-03-22,10,5,32
2020-03-22,11,51,23
2020-03-22,11,21,348
2020-03-22,11,29,271
2020-03-22,11,41,473
2020-03-22,14,6,49
2020-03-22,14,13,274
2020-03-22,14,18,62
2020-03-22,14,23,323
2020-03-22,14,29,63
2020-03-22,14,41,611
2020-03-22,20,48,179
2020-03-22,20,31,118
2020-03-22,17,8,948
2020-03-22,17,25,52
2020-03-22,18,4,291
2020-03-22,18,14,96
2020-03-22,18,23,140
2020-03-22,18,29,49
2020-03-22,19,28,758
2020-03-22,21,6,124
2020-03-22,21,11,420
2020-03-22,21,41,179
2020-03-22,22,25,164
2020-03-22,23,2,20
2020-03-22,23,13,20
2020-03-22,23,14,471
2020-03-22,23,18,135
2020-03-22,24,33,23
2020-03-22,24,32,53
2020-03-22,24,47,30
2020-03-22,25,8,33
2020-03-22,25,17,72
2020-03-22,25,22,217
2020-03-22,25,50,53
2020-03-22,27,33,424
2020-03-22,27,15,192
2020-03-22,27,32,87
2020-03-22,28,16,27
2020-03-22,28,19,571
2020-03-22,28,45,1534
2020-03-22,28,5,48
2020-03-22,30,2,42
2020-03-22,30,3,1127
2020-03-22,30,4,264
2020-03-22,29,11,302
2020-03-22,29,14,43
2020-03-22,29,18,53
2020-03-22,29,41,34
2020-03-22,31,20,56
2020-03-22,31,26,456
2020-03-22,31,50,187
2020-03-22,32,24,68
2020-03-22,32,27,74
2020-03-22,32,36,142
2020-03-22,34,9,140
2020-03-22,34,39,23
2020-03-22,36,15,2415
2020-03-22,36,32,127
2020-03-22,26,1,282
2020-03-22,26,31,448
2020-03-22,37,10,33
2020-03-22,37,49,23
2020-03-22,37,5,126
2020-03-22,40,47,42
2020-03-22,40,5,51
2020-03-22,41,11,467
2020-03-22,41,14,605
2020-03-22,41,21,288
2020-03-22,41,29,47
2020-03-22,42,47,22
2020-03-22,43,7,46
2020-03-22,43,8,404
2020-03-22,43,12,405
2020-03-22,43,44,39
2020-03-22,45,10,36
2020-03-22,45,28,1487
2020-03-22,45,5,72
2020-03-22,46,2,217
2020-03-22,46,3,434
2020-03-22,46,12,444
2020-03-22,46,16,135
2020-03-22,47,9,85
2020-03-22,47,34,30
2020-03-22,47,40,56
2020-03-22,47,42,20
2020-03-22,49,47,32
2020-03-22,50,25,55
2020-03-22,50,31,255
2020-03-22,5,10,58
2020-03-22,5,28,16
2020-03-22,5,37,114
2020-03-22,5,40,51
2020-03-22,5,45,89
2020-03-24,2,3,192
2020-03-24,2,13,391
2020-03-24,2,16,462
2020-03-24,2,30,131
2020-03-24,2,46,286
2020-03-24,3,2,226
2020-03-24,3,8,21
2020-03-24,3,12,16
2020-03-24,3,30,2020
2020-03-24,3,31,20
2020-03-24,3,46,876
2020-03-24,4,17,16
2020-03-24,4,18,416
2020-03-24,4,30,1034
2020-03-24,1,48,568
2020-03-24,1,9,723
2020-03-24,1,20,83
2020-03-24,1,31,18
2020-03-24,1,26,506
2020-03-24,33,39,135
2020-03-24,33,24,44
2020-03-24,33,27,631
2020-03-24,6,13,33
2020-03-24,6,10,850
2020-03-24,6,14,52
2020-03-24,6,21,240
2020-03-24,8,7,19
2020-03-24,8,17,1779
2020-03-24,8,25,80
2020-03-24,8,30,32
2020-03-24,8,43,737
2020-03-24,48,1,1035
2020-03-24,48,9,67
2020-03-24,48,39,384
2020-03-24,48,20,1077
2020-03-24,9,1,1420
2020-03-24,9,48,40
2020-03-24,9,34,444
2020-03-24,9,40,74
2020-03-24,9,42,55
2020-03-24,9,47,86
2020-03-24,39,33,174
2020-03-24,39,48,1536
2020-03-24,39,34,183
2020-03-24,12,43,643
2020-03-24,12,44,26
2020-03-24,12,46,384
2020-03-24,51,11,18
2020-03-24,13,2,483
2020-03-24,13,6,47
2020-03-24,13,16,58
2020-03-24,13,14,257
2020-03-24,13,45,179
2020-03-24,15,27,413
2020-03-24,15,36,3482
2020-03-24,16,2,370
2020-03-24,16,19,27
2020-03-24,16,28,81
2020-03-24,16,45,53
2020-03-24,16,46,94
2020-03-24,10,6,716
2020-03-24,10,45,185
2020-03-24,10,5,51
2020-03-24,11,21,416
2020-03-24,11,29,513
2020-03-24,11,41,538
2020-03-24,14,6,62
2020-03-24,14,13,417
2020-03-24,14,18,192
2020-03-24,14,23,499
2020-03-24,14,29,168
2020-03-24,14,41,1445
2020-03-24,20,1,78
2020-03-24,20,48,868
2020-03-24,20,31,261
2020-03-24,17,8,1959
2020-03-24,17,25,137
2020-03-24,18,4,593
2020-03-24,18,14,146
2020-03-24,18,23,150
2020-03-24,18,29,145
2020-03-24,19,28,1674
2020-03-24,21,6,235
2020-03-24,21,11,552
2020-03-24,21,41,388
2020-03-24,22,25,439
2020-03-24,22,50,193
2020-03-24,23,2,19
2020-03-24,23,13,16
2020-03-24,23,14,672
2020-03-24,23,18,172
2020-03-24,23,30,17
2020-03-24,24,32,95
2020-03-24,24,34,27
2020-03-24,24,47,36
2020-03-24,24,49,22
2020-03-24,25,8,43
2020-03-24,25,17,135
2020-03-24,25,22,463
2020-03-24,25,43,20
2020-03-24,25,50,82
2020-03-24,27,33,712
2020-03-24,27,15,505
2020-03-24,27,32,186
2020-03-24,28,16,54
2020-03-24,28,19,1446
2020-03-24,28,45,2780
2020-03-24,28,5,66
2020-03-24,30,2,83
2020-03-24,30,3,1731
2020-03-24,30,4,580
2020-03-24,30,17,28
2020-03-24,29,11,841
2020-03-24,29,14,146
2020-03-24,29,18,88
2020-03-24,29,41,110
2020-03-24,31,1,93
2020-03-24,31,20,204
2020-03-24,31,26,1620
2020-03-24,31,50,411
2020-03-24,32,24,101
2020-03-24,32,27,201
2020-03-24,32,36,105
2020-03-24,32,49,25
2020-03-24,34,9,331
2020-03-24,34,39,65
2020-03-24,34,24,34
2020-03-24,34,47,19
2020-03-24,36,15,4152
2020-03-24,36,32,157
2020-03-24,26,1,1515
2020-03-24,26,9,73
2020-03-24,26,31,1945
2020-03-24,37,5,263
2020-03-24,40,28,18
2020-03-24,40,47,216
2020-03-24,40,5,90
2020-03-24,41,6,31
2020-03-24,41,11,587
2020-03-24,41,14,1303
2020-03-24,41,21,806
2020-03-24,41,29,124
2020-03-24,42,9,50
2020-03-24,42,50,29
2020-03-24,43,8,917
2020-03-24,43,12,703
2020-03-24,43,17,22
2020-03-24,43,25,42
2020-03-24,44,12,24
2020-03-24,44,50,145
2020-03-24,45,13,122
2020-03-24,45,16,175
2020-03-24,45,10,197
2020-03-24,45,28,2937
2020-03-24,45,5,164
2020-03-24,46,2,364
2020-03-24,46,3,961
2020-03-24,46,7,25
2020-03-24,46,12,976
2020-03-24,46,16,69
2020-03-24,46,50,18
2020-03-24,47,9,80
2020-03-24,47,34,43
2020-03-24,47,40,219
2020-03-24,47,42,50
2020-03-24,47,49,55
2020-03-24,49,24,149
2020-03-24,49,32,18
2020-03-24,49,37,32
2020-03-24,49,47,72
2020-03-24,50,22,189
2020-03-24,50,25,99
2020-03-24,50,31,451
2020-03-24,50,42,97
2020-03-24,50,44,27
2020-03-24,5,10,67
2020-03-24,5,28,142
2020-03-24,5,37,124
2020-03-24,5,40,120
2020-03-24,5,45,207
2020-03-24,5,47,21
2020-03-26,2,3,198
2020-03-26,2,13,444
2020-03-26,2,16,580
2020-03-26,2,30,197
2020-03-26,2,46,279
2020-03-26,3,2,205
2020-03-26,3,4,20
2020-03-26,3,30,2585
2020-03-26,3,31,26
2020-03-26,3,46,877
2020-03-26,4,3,18
2020-03-26,4,18,311
2020-03-26,4,23,22
2020-03-26,4,28,17
2020-03-26,4,30,1344
2020-03-26,4,29,17
2020-03-26,4,38,16
2020-03-26,1,48,601
2020-03-26,1,9,661
2020-03-26,1,20,80
2020-03-26,1,31,18
2020-03-26,1,26,542
2020-03-26,33,39,160
2020-03-26,33,24,34
2020-03-26,33,27,634
2020-03-26,6,13,37
2020-03-26,6,10,887
2020-03-26,6,14,57
2020-03-26,6,21,256
2020-03-26,6,41,25
2020-03-26,8,7,19
2020-03-26,8,17,1794
2020-03-26,8,25,95
2020-03-26,8,43,689
2020-03-26,48,1,864
2020-03-26,48,9,118
2020-03-26,48,39,356
2020-03-26,48,20,921
2020-03-26,9,1,1315
2020-03-26,9,48,34
2020-03-26,9,34,436
2020-03-26,9,26,27
2020-03-26,9,40,71
2020-03-26,9,42,31
2020-03-26,9,47,94
2020-03-26,39,33,130
2020-03-26,39,48,1488
2020-03-26,39,9,27
2020-03-26,39,24,19
2020-03-26,39,34,169
2020-03-26,12,43,651
2020-03-26,12,46,474
2020-03-26,51,11,20
2020-03-26,13,2,499
2020-03-26,13,6,34
2020-03-26,13,16,103
2020-03-26,13,14,203
2020-03-26,13,28,17
2020-03-26,13,45,209
2020-03-26,15,27,419
2020-03-26,15,36,3505
2020-03-26,16,2,469
2020-03-26,16,19,21
2020-03-26,16,28,77
2020-03-26,16,45,26
2020-03-26,16,46,61
2020-03-26,10,6,838
2020-03-26,10,45,203
2020-03-26,10,5,96
2020-03-26,11,51,34
2020-03-26,11,21,463
2020-03-26,11,29,598
2020-03-26,11,41,715
2020-03-26,14,6,120
2020-03-26,14,13,390
2020-03-26,14,18,164
2020-03-26,14,23,647
2020-03-26,14,29,271
2020-03-26,14,41,1572
2020-03-26,20,1,90
2020-03-26,20,48,763
2020-03-26,20,31,236
2020-03-26,17,8,1884
2020-03-26,17,25,84
2020-03-26,18,4,461
2020-03-26,18,14,99
2020-03-26,18,23,99
2020-03-26,18,30,16
2020-03-26,18,29,157
2020-03-26,19,16,25
2020-03-26,19,28,1865
2020-03-26,19,44,27
2020-03-26,21,6,210
2020-03-26,21,11,595
2020-03-26,21,41,307
2020-03-26,22,25,403
2020-03-26,22,50,162
2020-03-26,23,2,16
2020-03-26,23,13,71
2020-03-26,23,14,607
2020-03-26,23,18,158
2020-03-26,24,33,28
2020-03-26,24,32,136
2020-03-26,24,34,32
2020-03-26,24,47,38
2020-03-26,24,49,27
2020-03-26,25,8,89
2020-03-26,25,17,83
2020-03-26,25,22,516
2020-03-26,25,43,21
2020-03-26,25,50,63
2020-03-26,27,33,666
2020-03-26,27,15,433
2020-03-26,27,24,39
2020-03-26,27,32,202
2020-03-26,28,16,55
2020-03-26,28,19,1497
2020-03-26,28,40,20
2020-03-26,28,45,2710
2020-03-26,28,5,63
2020-03-26,52,29,22
2020-03-26,30,2,178
2020-03-26,30,3,2009
2020-03-26,30,4,1006
2020-03-26,30,18,16
2020-03-26,29,11,947
2020-03-26,29,14,139
2020-03-26,29,18,85
2020-03-26,29,41,93
2020-03-26,31,1,120
2020-03-26,31,20,255
2020-03-26,31,26,1479
2020-03-26,31,50,406
2020-03-26,32,24,68
2020-03-26,32,27,161
2020-03-26,32,36,160
2020-03-26,32,49,60
2020-03-26,34,9,358
2020-03-26,34,39,42
2020-03-26,34,24,29
2020-03-26,34,47,21
2020-03-26,35,38,16
2020-03-26,36,15,4034
2020-03-26,36,32,180
2020-03-26,26,1,1535
2020-03-26,26,9,65
2020-03-26,26,31,1955
2020-03-26,37,10,33
2020-03-26,37,49,35
2020-03-26,37,5,196
2020-03-26,40,9,21
2020-03-26,40,28,17
2020-03-26,40,42,20
2020-03-26,40,47,208
2020-03-26,40,5,93
2020-03-26,41,6,54
2020-03-26,41,11,776
2020-03-26,41,14,1365
2020-03-26,41,21,558
2020-03-26,41,29,204
2020-03-26,42,9,29
2020-03-26,42,47,36
2020-03-26,42,50,82
2020-03-26,43,8,868
2020-03-26,43,12,769
2020-03-26,43,25,31
2020-03-26,43,44,40
2020-03-26,44,43,29
2020-03-26,44,50,108
2020-03-26,45,13,198
2020-03-26,45,16,126
2020-03-26,45,10,161
2020-03-26,45,28,2898
2020-03-26,45,5,146
2020-03-26,46,2,267
2020-03-26,46,3,988
2020-03-26,46,12,1094
2020-03-26,46,16,59
2020-03-26,47,9,80
2020-03-26,47,34,51
2020-03-26,47,40,230
2020-03-26,47,42,41
2020-03-26,47,49,117
2020-03-26,49,24,126
2020-03-26,49,32,22
2020-03-26,49,37,24
2020-03-26,49,47,86
2020-03-26,50,22,177
2020-03-26,50,25,56
